Player,Positions,Team,Multiplier,Overall,Franchise,Rookie,Tradeable,Salary,Collection,Status,Expires
"Ja'Marr Chase","Wr","CIN","1.5","144","No","No","Yes","11700","2025 Core","Active","2026-12-05"
"Xavier Hutchinson","Wr","HOU","1.5","52","No","No","Yes","4800","2025 Core","Active","2027-01-03"
"Ladd McConkey","Wr","LAC","1.3","104","No","No","Yes","7670","2025 Core","Active","2027-01-03"
"Geno Smith","Qb","NYJ","1.5","72","No","No","Yes","6900","2025 Core","Active","2027-01-03"
"Hollywood Brown","Wr","PHI","1.4","67","No","No","Yes","5320","2025 Core","Active","2027-01-04"
"Kimani Vidal","Rb","LAC","1","47","No","No","Yes","4800","2025 Core","Active","2027-01-04"
"Theo Johnson","Te","NYG","1.4","67","No","No","Yes","3920","2025 Core","Active","2027-01-04"
"Malik Nabers","Wr","NYG","1.5","128","Yes","No","No","10200","2025 Core","Active","N/A"
"Nico Collins","Wr","HOU","1.4","123","No","No","Yes","9800","2025 Core","Listed","2026-10-16"
"Garrett Wilson","Wr","NYJ","1.3","98","Yes","No","Yes","7540","2024 Core","Active","N/A"
"DeVonta Smith","Wr","PHI","1.2","96","No","No","Yes","7920","2025 Core","Active","2026-11-18"
"Travis Etienne Jr.","Rb","NO","1.4","98","No","No","Yes","8260","2025 Core","Active","2026-09-30"
"Chris Olave","Wr","NO","1.3","98","No","No","No","8710","2025 Core WR","Active","2026-11-18"
"Josh Allen","Qb","BUF","1.4","140","Yes","No","No","9800","2024 Core","Active","N/A"
"Jayden Daniels","Qb","WAS","1.5","134","Yes","No","No","9750","2024 Core","Active","N/A"
"Jahmyr Gibbs","Rb","DET","1.3","126","No","No","Yes","10400","2025 Core","Active","2026-11-18"
"Courtland Sutton","Wr","DEN","1.5","116","No","No","No","9000","2025 Core","Active","2026-10-17"
"Jaxon Smith-Njigba","Wr","SEA","1.4","140","No","No","No","10640","2025 Core WR","Active","2026-09-13"
"Lamar Jackson","Qb","BAL","1.3","121","No","No","No","8840","2025 Core","Active","2026-10-17"
"De'Zhaun Stribling","Wr","SF","1.5","46","No","No","No","7650","2026 Core","Active","2027-08-03"
"Jaxson Dart","Qb","NYG","1.2","84","No","No","No","6720","2026 Core QB","Active","2027-08-03"
"Rhamondre Stevenson","Rb","NE","1.1","70","No","No","No","6270","2026 Core RB","Active","2027-08-03"
"Durham Smythe","Te","BAL","1.5","45","No","No","No","3750","2026 Core TE","Active","2027-08-03"
"Xavier Worthy","Wr","KC","1","71","No","No","No","4500","2026 Core WR","Active","2027-08-03"
