"Player","position","multiplier","salary","status","game_window","SOS","Floor","Consensus","Proj.","Ceiling","3D Proj.","GB_Projection","GB_Projection_Floor","GB_Projection_Ceiling"
"Jayden Daniels","QB",1.3,9750,"Active","Sunday Morning","-5%",16.9,20.3,18.7,22.9,19.2,24.96,21.97,29.77
"Kyler Murray","QB",1.5,9000,"Active","Sunday Afternoon","11%",15.9,20.3,17.9,22.1,18.3,27.45,23.85,33.15
"Jordan Love","QB",1,6200,"Active","Sunday Night","2%",15,17.9,16,21.9,17,17,15,21.9
"Jameis Winston","QB",1.2,6600,"Active","Sunday Morning","2%",15.1,16.2,17.2,21.6,17.6,21.12,18.12,25.92
"Anthony Richardson","QB",1.2,6960,"Active","Sunday Afternoon","-9%",14,16.5,16.7,21.2,17.1,20.52,16.8,25.44
"Skylar Thompson","QB",1.2,4800,"Active","Sunday Morning",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam Darnold","QB",1.3,8580,"Active","Monday Night","-17%",16.2,17.4,18,21.9,18.4,23.92,21.06,28.47
"Russell Wilson","QB",1.2,6840,"Active","Sunday Afternoon","-17%",12.8,15,13.1,19.7,14.3,17.16,15.36,23.64
"C.J. Stroud","QB",1,6200,"Active","Sunday Morning","-18%",15.3,15.9,17.3,21.3,17.7,17.7,15.3,21.3
"Brock Purdy","QB",1.1,6930,"Active","Thursday Night","13%",16.5,18,18.8,21.8,18.9,20.79,18.15,23.98
"Lamar Jackson","QB",1.1,9130,"Active","Sunday Morning","-9%",18.4,22.3,22.2,24.4,21.9,24.09,20.24,26.84
"Kyler Murray","QB",1.3,7800,"Active","Sunday Afternoon","11%",15.9,20.3,17.9,22.1,18.3,23.79,20.67,28.73
"Joe Burrow","QB",1.1,8030,"Active","Sunday Morning","1%",18,20,20.9,23.4,20.8,22.88,19.8,25.74
"Malik Willis","QB",1.2,4800,"Active","Sunday Night",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drew Lock","QB",1,4900,"Active","Sunday Morning","14%",11.9,10.6,13.5,18.3,14.2,14.2,11.9,18.3
"Sam Darnold","QB",1.3,8580,"Active","Monday Night","-17%",16.2,17.4,18,21.9,18.4,23.92,21.06,28.47
"Dak Prescott","QB",1.2,4800,"Injured Reserve","Sunday Morning",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russell Wilson","QB",1.2,6840,"Active","Sunday Afternoon","-17%",12.8,15,13.1,19.7,14.3,17.16,15.36,23.64
"Jayden Daniels","QB",1.1,8250,"Active","Sunday Morning","-5%",16.9,20.3,18.7,22.9,19.2,21.12,18.59,25.19
"Russell Wilson","QB",1.2,6840,"Active","Sunday Afternoon","-17%",12.8,15,13.1,19.7,14.3,17.16,15.36,23.64
"Jameis Winston","QB",1.4,7699,"Active","Sunday Morning","2%",15.1,16.2,17.2,21.6,17.6,24.64,21.14,30.24
"Andy Dalton","QB",1,4800,"Active","Sunday Morning",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamar Jackson","QB",1.2,9960,"Active","Sunday Morning","-9%",18.4,22.3,22.2,24.4,21.9,26.28,22.08,29.28
"Caleb Williams","QB",1.4,7979,"Active","Monday Night","-4%",14.9,16.4,17.4,21.4,17.7,24.78,20.86,29.96
"Chase Brown","RB",1.2,8640,"Active","Sunday Morning","-5%",10.6,18.7,17.1,21.1,16.6,19.92,12.72,25.32
"Josh Jacobs","RB",1.1,8140,"Active","Sunday Night","4%",9.5,17.3,15,20.3,15,16.5,10.45,22.33
"Joe Mixon","RB",1.4,10920,"Active","Sunday Morning","14%",10.5,19.6,17.8,22.3,17.3,24.22,14.7,31.22
"Tony Pollard","RB",1,6700,"Active","Sunday Morning","-2%",9.3,13.5,13.4,18.5,13.6,13.6,9.3,18.5
"Jahmyr Gibbs","RB",1.2,9000,"Active","Sunday Afternoon","26%",10,16.4,16.7,21.7,16.4,19.68,12,26.04
"James Conner","RB",1.1,7260,"Active","Sunday Afternoon","6%",10,16,16.6,20,16,17.6,11,22
"Zach Charbonnet","RB",1.4,8400,"Active","Sunday Night","6%",5.2,8.1,7.8,13.2,8.3,11.62,7.28,18.48
"Ezekiel Elliott","RB",1.2,6120,"Active","Sunday Morning","37%",1.7,2.6,2.9,6.4,3.4,4.08,2.04,7.68
"Gus Edwards","RB",1.3,6890,"Active","Sunday Afternoon","-5%",6.1,8.2,7.9,14.4,8.8,11.44,7.93,18.72
"Derrick Henry","RB",1.3,10790,"Active","Sunday Morning","13%",11.6,18.5,18.7,23.4,18.2,23.66,15.08,30.42
"Alvin Kamara","RB",1.3,10010,"Active","Sunday Morning","-3%",9.8,17.8,15.3,17.9,14.7,19.11,12.74,23.27
"Rico Dowdle","RB",1.3,7930,"Active","Sunday Morning","37%",9,14.1,14.3,18.3,14,18.2,11.7,23.79
"Jaylen Warren","RB",1.3,7020,"Active","Sunday Afternoon","-20%",7,10.4,9.9,14.6,10.2,13.26,9.1,18.98
"Antonio Gibson","RB",1.4,6860,"Active","Sunday Afternoon","4%",3.1,4.1,4.2,9,4.9,6.86,4.34,12.6
"J.K. Dobbins","RB",1.4,8119,"Injured Reserve","Sunday Afternoon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chuba Hubbard","RB",1.2,7800,"Active","Sunday Morning","6%",10.4,16.4,16.2,20.4,15.9,19.08,12.48,24.48
"Brian Robinson Jr.","RB",1,6200,"Active","Sunday Morning","15%",8.5,13.1,13.8,17.9,13.5,13.5,8.5,17.9
"Chuba Hubbard","RB",1,6500,"Active","Sunday Morning","6%",10.4,16.4,16.2,20.4,15.9,15.9,10.4,20.4
"Jordan Mason","RB",1.3,5200,"Injured Reserve","Thursday Night",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kimani Vidal","RB",1.1,5280,"Active","Sunday Afternoon","-5%",5,6.6,7.1,13.2,7.9,8.69,5.5,14.52
"Zach Charbonnet","RB",1.2,7200,"Active","Sunday Night","6%",5.2,8.1,7.8,13.2,8.3,9.96,6.24,15.84
"D'Andre Swift","RB",1.4,7839,"Active","Monday Night","-18%",7.9,12.2,10.9,16.6,11.5,16.1,11.06,23.24
